date,portfolio_value
2023-01-01,99699999.99999999
2023-01-02,99699999.99999999
2023-01-03,102175435.64446819
2023-01-04,101886496.33531421
2023-01-05,102629872.42793058
2023-01-06,103264514.84129906
2023-01-07,103264514.84129906
2023-01-08,103264514.84129906
2023-01-09,103636186.83887808
2023-01-10,103152037.10697694
2023-01-11,103503425.4778254
2023-01-12,103147188.06229164
2023-01-13,103989418.02149308
2023-01-14,103989418.02149308
2023-01-15,103989418.02149308
2023-01-16,104584369.83021185
2023-01-17,105442344.00895068
2023-01-18,106075661.95919016
2023-01-19,106981116.94735947
2023-01-20,106981116.94735947
2023-01-21,106981116.94735947
2023-01-22,106981116.94735947
2023-01-23,106981116.94735947
2023-01-24,106981116.94735947
2023-01-25,106981116.94735947
2023-01-26,106981116.94735947
2023-01-27,108658116.03012288
2023-01-28,108658116.03012288
2023-01-29,108658116.03012288
2023-01-30,106812346.68797705
2023-01-31,107204523.94679545
2023-02-01,105111870.41338688
2023-02-01,104524873.91455156
2023-02-02,103625390.1207044
2023-02-03,103511124.42623915
2023-02-04,103511124.42623915
2023-02-05,103511124.42623915
2023-02-06,104253172.52985215
2023-02-07,103311114.2908656
2023-02-08,103213255.93311743
2023-02-09,102403408.40740424
2023-02-10,104615337.91118294
2023-02-11,104615337.91118294
2023-02-12,104615337.91118294
2023-02-13,104102309.11385033
2023-02-14,103533348.115754
2023-02-15,103890386.47677407
2023-02-16,104181088.69620684
2023-02-17,103612030.15522829
2023-02-18,103612030.15522829
2023-02-19,103612030.15522829
2023-02-20,104557035.37141612
2023-02-21,104195788.69257498
2023-02-22,102852208.97726755
2023-02-23,102656512.16680656
2023-02-24,101718893.70193225
2023-02-25,101718893.70193225
2023-02-26,101718893.70193225
2023-02-27,101431983.57853743
2023-02-28,101966798.09422438
2023-03-01,102839815.74423572
2023-03-01,102265507.51867254
2023-03-02,103054546.53751372
2023-03-03,101958284.22728185
2023-03-04,101958284.22728185
2023-03-05,101958284.22728185
2023-03-06,102362588.91991265
2023-03-07,104544916.4481777
2023-03-08,106382659.62595767
2023-03-09,106239305.00145638
2023-03-10,106319286.02620767
2023-03-11,106319286.02620767
2023-03-12,106319286.02620767
2023-03-13,105800140.99777243
2023-03-14,104322481.25105713
2023-03-15,106448544.35881577
2023-03-16,104953920.41756527
2023-03-17,104909334.06851023
2023-03-18,104909334.06851023
2023-03-19,104909334.06851023
2023-03-20,103025256.46694295
2023-03-21,102353602.33235735
2023-03-22,103114761.64848347
2023-03-23,103147780.84700952
2023-03-24,104104078.38394779
2023-03-25,104104078.38394779
2023-03-26,104104078.38394779
2023-03-27,104966378.69467875
2023-03-28,104782843.52037615
2023-03-29,104502613.99641526
2023-03-30,105707842.72855246
2023-03-31,107580410.99305639
