date,portfolio_value
2023-06-23,110428554.37760015
2023-06-24,110428554.37760015
2023-06-25,110428554.37760015
2023-06-26,111092694.86944379
2023-06-27,111087847.54304996
2023-06-28,111064061.8882091
2023-06-29,110927346.70299977
2023-06-30,110780784.9443396
2023-07-01,110780784.9443396
2023-07-01,110692358.60592438
2023-07-02,110692358.60592438
2023-07-03,110413725.5607826
2023-07-04,110310967.9250284
2023-07-05,110165904.69289693
2023-07-06,109754073.34202313
2023-07-07,110108541.36844763
2023-07-08,110108541.36844763
2023-07-09,110108541.36844763
2023-07-10,110921825.32745522
2023-07-11,111197491.55651575
2023-07-12,111392071.25866194
2023-07-13,111553424.17652497
2023-07-14,112027278.48912373
2023-07-15,112027278.48912373
2023-07-16,112027278.48912373
2023-07-17,111743978.38567856
2023-07-18,111865906.10253826
2023-07-19,112397177.192815
2023-07-20,112661722.18440461
2023-07-21,112972541.3553314
2023-07-22,112972541.3553314
2023-07-23,112972541.3553314
2023-07-24,113037325.89795117
2023-07-25,113502676.08074349
2023-07-26,113743094.5944817
2023-07-27,114051472.2427254
2023-07-28,114736469.77453215
2023-07-29,114736469.77453215
2023-07-30,114736469.77453215
2023-07-31,115463225.16019946
2023-08-01,114879001.56120759
2023-08-01,114649666.76230231
2023-08-02,114588257.52968141
2023-08-03,114448817.06366307
2023-08-04,114107000.50725609
2023-08-05,114107000.50725609
2023-08-06,114107000.50725609
2023-08-07,114425390.04623088
2023-08-08,114424739.08137748
2023-08-09,114308092.97006702
2023-08-10,113867065.57570866
2023-08-11,113396715.18848203
2023-08-12,113396715.18848203
2023-08-13,113396715.18848203
2023-08-14,113409240.3097836
2023-08-15,113353905.28175402
2023-08-16,113521716.82735437
2023-08-17,113031520.62657428
2023-08-18,112725341.47981651
2023-08-19,112725341.47981651
2023-08-20,112725341.47981651
2023-08-21,112945755.72799066
2023-08-22,112682337.39276637
2023-08-23,112892650.74846266
2023-08-24,113637175.54486191
2023-08-25,114352501.29540509
2023-08-26,114352501.29540509
2023-08-27,114352501.29540509
2023-08-28,114476444.07787935
2023-08-29,114701982.94742666
2023-08-30,115016936.8202563
2023-08-31,114061902.21538816
2023-09-01,114061902.21538816
2023-09-01,113900515.3232652
2023-09-02,113900515.3232652
2023-09-03,113900515.3232652
2023-09-04,113900515.3232652
2023-09-05,114722107.37459224
2023-09-06,114896992.32338642
2023-09-07,114766773.72634718
2023-09-08,114933453.45624241
2023-09-09,114933453.45624241
2023-09-10,114933453.45624241
2023-09-11,113869417.50334424
2023-09-12,114285970.25923273
2023-09-13,113546819.75322339
2023-09-14,113101669.60124522
2023-09-15,113056487.3858855
2023-09-16,113056487.3858855
2023-09-17,113056487.3858855
2023-09-18,113118491.95730671
2023-09-19,113198395.20008308
2023-09-20,113452592.66164877
2023-09-21,113405646.25131264
2023-09-22,112992637.71781424
2023-09-23,112992637.71781424
2023-09-24,112992637.71781424
2023-09-25,112361974.58548374
2023-09-26,112168857.28166692
2023-09-27,112715815.24908204
2023-09-28,112075636.91232218
2023-09-29,112044400.93232119
2023-09-30,112044400.93232119
2023-10-01,112044400.93232119
2023-10-01,111521537.30172686
2023-10-02,112505936.66257933
2023-10-03,109938888.73477003
2023-10-04,109720198.29345949
2023-10-05,108830384.51915365
2023-10-06,109871282.62040707
2023-10-07,109871282.62040707
2023-10-08,109871282.62040707
2023-10-09,109499777.31433427
2023-10-10,110067209.0860285
2023-10-11,110254475.4253463
2023-10-12,111052783.87306851
2023-10-13,111755998.92973778
2023-10-14,111755998.92973778
2023-10-15,111755998.92973778
2023-10-16,111544881.01543888
2023-10-17,110517439.93606772
2023-10-18,109002925.81846628
2023-10-19,107502307.50619583
2023-10-20,108637571.47384116
2023-10-21,108637571.47384116
2023-10-22,108637571.47384116
2023-10-23,106770289.09035935
2023-10-24,108647458.49370289
2023-10-25,108315654.53852315
2023-10-26,104671452.54629527
2023-10-27,103883234.82134579
2023-10-28,103883234.82134579
2023-10-29,103883234.82134579
2023-10-30,102134835.76684372
2023-10-31,100455624.582003
2023-11-01,102368545.9554475
2023-11-01,102017890.20421022
2023-11-02,107308678.19978245
2023-11-03,107411143.56287916
2023-11-04,107411143.56287916
2023-11-05,107411143.56287916
2023-11-06,109807688.44900516
2023-11-07,109332942.459394
2023-11-08,112849700.4679325
2023-11-09,112181916.627194
2023-11-10,110816600.5732426
2023-11-11,110816600.5732426
2023-11-12,110816600.5732426
2023-11-13,110368887.18116875
2023-11-14,111455183.31481515
2023-11-15,112009867.71241558
2023-11-16,112815904.76545057
2023-11-17,111170252.19775271
2023-11-18,111170252.19775271
2023-11-19,111170252.19775271
2023-11-20,110642870.97500336
2023-11-21,112065742.63894966
2023-11-22,112904778.5440066
2023-11-23,108898152.83493197
2023-11-24,110887258.0978046
2023-11-25,110887258.0978046
2023-11-26,110887258.0978046
2023-11-27,110998308.62963262
2023-11-28,111485103.94458762
2023-11-29,112720675.04762034
2023-11-30,112167489.16054925
2023-12-01,112588180.2041251
2023-12-01,111947147.93680757
2023-12-02,111947147.93680757
2023-12-03,111947147.93680757
2023-12-04,111932392.81325376
2023-12-05,111491300.88407327
2023-12-06,111703609.10358572
2023-12-07,111488983.53837025
2023-12-08,111994505.86275952
2023-12-09,111994505.86275952
2023-12-10,111994505.86275952
2023-12-11,111758970.6098069
2023-12-12,111415236.53905697
2023-12-13,111231584.61336115
2023-12-14,111155526.10250528
2023-12-15,110194472.69293648
2023-12-16,110194472.69293648
2023-12-17,110194472.69293648
2023-12-18,110202215.42893015
2023-12-19,110190813.12953545
2023-12-20,110547722.18578103
2023-12-21,110620912.31185937
2023-12-22,110866588.65236634
2023-12-23,110866588.65236634
2023-12-24,110866588.65236634
2023-12-25,111394004.81039995
2023-12-26,111617535.28344126
2023-12-27,111627874.88848385
2023-12-28,112917659.65434459
2023-12-29,113264761.04548334
2023-12-30,113264761.04548334
2023-12-31,113264761.04548334
2024-01-01,113264761.04548334
2024-01-01,112601311.7510691
2024-01-02,112950935.25670487
2024-01-03,112524333.80392367
2024-01-04,112799734.09008528
2024-01-05,112964694.67858364
2024-01-06,112964694.67858364
2024-01-07,112964694.67858364
2024-01-08,112972398.73639438
2024-01-09,112810722.58862926
2024-01-10,111855272.58723274
2024-01-11,111756355.05002989
2024-01-12,111240870.10926962
2024-01-13,111240870.10926962
2024-01-14,111240870.10926962
2024-01-15,111126140.89192253
2024-01-16,111388542.64388551
2024-01-17,111345243.73806955
2024-01-18,111096110.0532419
2024-01-19,111321421.85814093
2024-01-20,111321421.85814093
2024-01-21,111321421.85814093
2024-01-22,111641978.3626335
2024-01-23,111344157.6713195
2024-01-24,111175438.16461967
2024-01-25,111186439.48401865
2024-01-26,111550900.84064773
2024-01-27,111550900.84064773
2024-01-28,111550900.84064773
2024-01-29,111617448.13593507
2024-01-30,111649456.27725782
2024-01-31,111672830.0003854
2024-02-01,112751391.71790965
2024-02-01,112564646.2861591
2024-02-02,112516124.49217632
2024-02-03,112516124.49217632
2024-02-04,112516124.49217632
2024-02-05,112861711.17878485
2024-02-06,112972274.24682938
2024-02-07,113173917.24952023
2024-02-08,113173917.24952023
2024-02-09,113173917.24952023
2024-02-10,113173917.24952023
2024-02-11,113173917.24952023
2024-02-12,113173917.24952023
2024-02-13,113173917.24952023
2024-02-14,113173917.24952023
2024-02-15,113438143.31722814
2024-02-16,113929716.77233882
2024-02-17,113929716.77233882
2024-02-18,113929716.77233882
2024-02-19,114120381.77672862
2024-02-20,113661174.70841622
2024-02-21,113127790.69120249
2024-02-22,113736632.50390883
2024-02-23,114037148.25449786
2024-02-24,114037148.25449786
2024-02-25,114037148.25449786
2024-02-26,114194309.77217081
2024-02-27,114271080.09273528
2024-02-28,114472147.32385777
2024-02-29,114591283.77033064
2024-03-01,114821581.20131868
2024-03-01,114676573.80652703
2024-03-02,114676573.80652703
2024-03-03,114676573.80652703
2024-03-04,114945258.52927606
2024-03-05,115080715.00889426
2024-03-06,114794534.22530772
2024-03-07,114545460.76526241
2024-03-08,114468848.46344106
2024-03-09,114468848.46344106
2024-03-10,114468848.46344106
2024-03-11,114556426.34992848
2024-03-12,114385573.57648078
2024-03-13,114309795.69500989
2024-03-14,114146648.9278168
2024-03-15,114070856.80277042
2024-03-16,114070856.80277042
2024-03-17,114070856.80277042
2024-03-18,113669879.93902367
2024-03-19,112784799.95390996
2024-03-20,113113450.86078827
2024-03-21,111970105.92190489
2024-03-22,110900021.48171316
2024-03-23,110900021.48171316
2024-03-24,110900021.48171316
2024-03-25,110847917.70910601
