date,portfolio_value
2023-01-01,99699999.99999999
2023-01-02,99699999.99999999
2023-01-03,102545182.24037157
2023-01-04,102427157.43682504
2023-01-05,103498455.89453164
2023-01-06,104297611.86945683
2023-01-07,104297611.86945683
2023-01-08,104297611.86945683
2023-01-09,104385735.22173387
2023-01-10,103763744.03282598
2023-01-11,104193066.47906312
2023-01-12,103843474.52160668
2023-01-13,104823569.89175667
2023-01-14,104823569.89175667
2023-01-15,104823569.89175667
2023-01-16,105093319.09813713
2023-01-17,106244870.71135116
2023-01-18,107379553.29606943
2023-01-19,108523106.86689693
2023-01-20,108523106.86689693
2023-01-21,108523106.86689693
2023-01-22,108523106.86689693
2023-01-23,108523106.86689693
2023-01-24,108523106.86689693
2023-01-25,108523106.86689693
2023-01-26,108523106.86689693
2023-01-27,110687628.61526261
2023-01-28,110687628.61526261
2023-01-29,110687628.61526261
2023-01-30,108419040.75860205
2023-01-31,109309854.25419712
2023-02-01,106574184.74528518
2023-02-01,106024503.74788657
2023-02-02,105542697.66106677
2023-02-03,105524710.26337205
2023-02-04,105524710.26337205
2023-02-05,105524710.26337205
2023-02-06,106281658.27156784
2023-02-07,105022871.86574173
2023-02-08,104779073.83963236
2023-02-09,103902606.17882207
2023-02-10,105198994.75486475
2023-02-11,105198994.75486475
2023-02-12,105198994.75486475
2023-02-13,104442387.18036658
2023-02-14,103649653.82774216
2023-02-15,104342504.3783395
2023-02-16,104831711.59042424
2023-02-17,104700275.67324367
2023-02-18,104700275.67324367
2023-02-19,104700275.67324367
2023-02-20,106180790.32430786
2023-02-21,106015439.81555709
2023-02-22,104117790.08095613
2023-02-23,104020891.217214
2023-02-24,103162940.65728298
2023-02-25,103162940.65728298
2023-02-26,103162940.65728298
2023-02-27,103099488.13050687
2023-02-28,103645233.87733656
2023-03-01,104393675.73517695
2023-03-01,103855241.21712399
2023-03-02,104302993.0679863
2023-03-03,103311898.66685416
2023-03-04,103311898.66685416
2023-03-05,103311898.66685416
2023-03-06,104699718.07946697
2023-03-07,106464798.98837295
2023-03-08,109040899.85992451
2023-03-09,109360419.71389374
2023-03-10,108999078.96285939
2023-03-11,108999078.96285939
2023-03-12,108999078.96285939
2023-03-13,108476689.34199928
2023-03-14,107309250.30931136
2023-03-15,109901427.61982067
2023-03-16,108821693.50472018
2023-03-17,108217834.21957994
2023-03-18,108217834.21957994
2023-03-19,108217834.21957994
2023-03-20,106415856.90985136
2023-03-21,105872877.5177963
2023-03-22,106846610.74323495
2023-03-23,107034535.90858403
2023-03-24,108307267.94895674
2023-03-25,108307267.94895674
2023-03-26,108307267.94895674
2023-03-27,109505102.50313474
2023-03-28,109176891.02815744
2023-03-29,109065445.30034187
2023-03-30,109612711.38756295
2023-03-31,110957171.22608215
